name,price,position
Marcus Sasser,1,PG
Trey Jemison,1,C
James Wiseman,1,C
Malaki Branham,1,PG
Ziaire Williams,1,SF
Lonnie Walker IV,1,SG
Dennis Smith Jr.,1,PG
Derrick Rose,1,PG
Christian Wood,1,PF
Derrick Jones Jr.,1,SF
Trey Lyles,1,PF
Vasilije Mici?,1,PG
Taylor Hendricks,1,PF
Christian Braun,1,SG
Naji Marshall,1,SF
Larry Nance Jr.,1,C
DeJon Jarreau,1,SG
Nickeil Alexander-Walker,1,SG
Brice Sensabaugh,1,SF
Zavier Simpson,1,PG
Dyson Daniels,1,PG
Patrick Beverley,1,PG
Kris Dunn,1,PG
RaiQuan Gray,1,PF
Kevon Looney,1,C
Javon Freeman-Liberty,1,PG
Moses Moody,1,SG
Gradey Dick,1,SG
Jonathan Isaac,1,PF
Isaiah Joe,1,SG
Sam Merrill,1,SG
Nicolas Batum,1,PF
Mason Plumlee,1,C
Bruno Fernando,1,C
Cameron Payne,1,PG
Jose Alvarado,1,PG
Miles McBride,1,PG
Isaiah Jackson,1,C
Daniel Theis,1,C
Lamar Stevens,1,PF
Trendon Watford,1,PF
Chimezie Metu,1,C
Jarred Vanderbilt,2,PF
Jordan Hawkins,1,SG
Jordan Nwora,1,SF
Chris Boucher,1,PF
David Roddy,1,PF
Jahmi'us Ramsey,1,SG
Julian Champagnie,1,SF
Kris Murray,1,SF
Peyton Watson,1,SF
John Konchar,1,SF
Cedi Osman,1,SF
Bones Hyland,1,PG
Torrey Craig,1,SF
Goga Bitadze,1,C
Bismack Biyombo,1,C
Pat Connaughton,1,SF
Jared Butler,1,SG
Jae Crowder,1,PF
Justin Champagnie,1,SF
Xavier Tillman Sr.,1,PF
Cason Wallace,1,SG
Neemias Queta,1,C
Jaden Hardy,1,SG
Luke Kornet,1,C
Aaron Wiggins,1,SG
Tosan Evbuomwan,1,SF
Haywood Highsmith,1,PF
Kevin Knox,1,SF
Quentin Grimes,1,SG
David Duke Jr.,1,SG
Dean Wade,1,PF
Evan Fournier,1,SG
Drew Eubanks,1,C
Gary Harris,1,SG
Johnny Juzang,1,SG
Richaun Holmes,1,C
Noah Clowney,1,PF
Craig Porter Jr.,1,PG
Thomas Bryant,1,C
Aaron Holiday,1,PG
Marcus Morris,1,PF
Jontay Porter,1,PF
Amir Coffey,1,SF
Kobi Simmons,1,PG
Jeff Green,1,PF
Ochai Agbaji,1,SG
Aleksej Pokusevski,1,PF
Landry Shamet,1,SG
Omer Yurtseven,1,C
Jaylen Nowell,1,SG
Joe Ingles,1,SF
Ashton Hagans,1,PG
Maxi Kleber,1,C
Mo Bamba,1,C
Darius Bazley,1,PF
Jock Landale,1,C
Gary Payton II,2,SG
Keon Ellis,1,SG
Kenrich Williams,1,PF
Jalen Wilson,1,PF
Malachi Flynn,1,PG
Danilo Gallinari,1,PF
DeAndre Jordan,1,C
Wenyen Gabriel,1,PF
Thaddeus Young,1,PF
Jaylin Williams,1,C
Matisse Thybulle,1,SF
Dominick Barlow,1,PF
Delon Wright,1,PG
Monte Morris,1,PG
Bol Bol,1,PF
Dexter Dennis,1,SG
Jacob Gilyard,1,PG
Blake Wesley,1,SG
Devonte' Graham,1,PG
Robert Covington,1,PF
Nick Smith Jr.,1,SG
Cam Reddish,1,SF
Davion Mitchell,1,PG
Malik Williams,1,C
Patrick Baldwin Jr.,1,SF
Charles Bassey,1,C
Sandro Mamukelashvili,1,C
Ish Smith,1,PG
Mouhamed Gueye,1,PF
Kobe Bufkin,1,SG
Jeff Dowtin,1,PG
Josh Okogie,1,SG
Keon Johnson,1,SG
Isaiah Livers,1,PF
Sasha Vezenkov,1,PF
Jae'Sean Tate,1,SF
Dwight Powell,1,C
Adama Sanogo,1,PF
Kenneth Lofton Jr.,1,PF
Rayan Rupert,1,SG
Anthony Black,1,PG
Tristan Thompson,1,C
Stanley Umude,1,SG
Jaxson Hayes,1,C
Taze Moore,1,SG
Bryce McGowens,1,SG
Seth Curry,1,SG
Jared Rhoden,1,SG
Troy Brown Jr.,1,SF
Moses Brown,1,C
Eugene Omoruyi,1,SF
Matt Ryan,1,SF
Doug McDermott,1,SF
Skylar Mays,1,PG
Dru Smith,1,SG
Oshae Brissett,1,SF
Lester Quinones,1,SG
Ricky Council IV,1,SG
Shake Milton,1,SG
Max Christie,1,SG
Brandon Boston Jr.,1,SF
JaVale McGee,1,C
MarJon Beauchamp,1,SF
Jevon Carter,1,PG
Timmy Allen,1,SF
D.J. Wilson,1,PF
Ben Sheppard,1,SG
Garrison Mathews,1,SG
Marques Bolden,1,C
Dalen Terry,1,SG
Gui Santos,1,PF
Alex Len,1,C
Patty Mills,1,PG
Boban Marjanovic,1,C
Gabe Vincent,1,PG
Jalen McDaniels,1,SF
Yuta Watanabe,1,SF
P.J. Tucker,1,PF
Reggie Bullock,1,SF
Taj Gibson,1,PF
Joe Harris,1,SG
AJ Griffin,1,SF
Usman Garuba,1,PF
Isaiah Thomas,1,PG
Thanasis Antetokounmpo,1,PF
